en,hi
promenade ,टहलना
prominence ,प्रमुखता
prominence ,प्रख्याति
prominence ,उभार
prominent,विशिष्ट
prominent,महत्वपूर्ण
prominent,दृश्य
promiscuous ,बेतरतीब
promiscuous ,स्वच्छंद
promiscuously ,स्व्च्छंदतापूर्वक
promise,करार
promise,लक्षण
promise,वादा
promise,वचन
promise,प्रतिज्ञा
promise,उदीयमान
promise ,वादा
promising ,आशाजनक
promising ,होनहार
promissory note,वचनपत्र
prom ,प्रॉम
prom ,विहारस्थल
promo,झलकी
promo ,प्रोमो
promoter,प्रोत्साहक
promoter ,समर्थक
promotional ,विज्ञापन-संबंधी
promotion,तरक्की
promotion,वृद्धी
promotion,समृद्धि
promotion,प्रचार
promotive ,प्रोत्साहक
prompter,अनुबोधक
prompter ,प्रॉम्प्टर
prompt,ठीक
prompt,तुरन्त
prompt,उकसाना
prompt,जताना
prompting ,प्रॉम्प्टिंग
prompting ,प्रोत्साहन
promptitude ,तत्परता
promptitude ,मुस्तैदी
promptly ,फ़ौरन
promptly ,जल्दी
promptness ,तत्परता
promptness ,मुस्तैदी
promulgation ,घोषणा
promulgation ,प्रचार
promulgation ,विज्ञप्ति
prone ,औंधा
prone ,अधोमुख
prone ,प्रवृत्त
proneness ,प्रवृत्ति
pronged ,शाखदार
pronged ,दाँतेदार
prong ,शाखा
prong ,दाँत
pronominal,सर्वनामजात
pronominal,सार्वनामिक
pronounceable ,उच्चारणीय
pronounce,पढना
pronounced ,उच्चारित
pronounced ,सुस्पष्ठ
pronounce,सुनाना
pronouncement ,घोषणा
pronounce ,सुनाना
pronounciation,उच्चारण
pronoun,सर्वनाम
pronto ,तुरंत
pronto ,फ़ौरन
pronunciation,उच्चारण
proof,सिद्ध
proof,दुर्भेद्य
proof,प्रमाण
proof,प्रूफ
proof,अभेद्य
proof,जाँच
proof ,प्रमाण
proofreader ,प्रूफ़-रीडर
proofreader ,प्रूफ़-शोधक
propaganda,प्रचार
propagandist ,प्रचारवादी
propagandistic ,प्रचारवादी
propagandist ,प्रचारक
propagate ,फैलना
propagate ,उगाना
propagation,प्रसारण
propagation ,प्रचार
propagation ,प्रजनन
propagator ,प्रवर्धन-पेटी
propagator ,प्रवर्धक
propagator ,प्रचारक
propel,फेंकना
propellant ,प्रणोदी
propellant ,प्रणोदक
propellent ,प्रणोदी
propellent ,प्रणोदक
propeller ,नोदक
propelling ,प्रणोदी
propellor ,नोदक
propel ,ठेलना
propel ,धकेलना
propel ,उकसाना
propensity ,प्रवृत्ति
propensity ,झुकाव
proper ,ठिक
proper,ठीक
proper,उचित
properness ,मर्यादाअ
properness ,औचित्यअ
propertied ,संपत्तिशाली
property,सामग्री
property,सम्पत्ति
property,गुण
property,विशेशता
property,जायदाद
property,स्वभाव
property,प्रकृति
property,अधिकार
property,वैभव
property,धन
property ,गुण
property ,सम्पत्ति
prophecy,भविष्यवाणी
prophetic ,भविष्यसूचक
prophetic ,पैगंबरी
prophetical ,भविष्यसूचक
prophetical ,पैगंबरी
prophetically,भविष्यवाण्
prophet,पैगम्बर
prophet,भविष्यवक्ता
prophylactic ,रोगनिरोधी
prophylactic ,गर्भनिरोधी
prophylactic ,अभिरक्षक
prop,सहारा
propinquity ,सामीप्य
propinquity ,निकटता
propitious ,अनुकूल
propitious ,शुभ
prop ,मंच-सामग्री
prop ,टेक
prop ,थूनी
proponent ,प्रस्तावक
proportional ,आनुपातिक
proportional ,अनुपाती
proportionate ,संतुलित
proportionate ,आनुपातिक
proportioned ,अनुपातित
proportion,भाग
proportion,अनुपात
proportion,समानुपात
proposal,प्रस्ताव
proposal,सुझाव
proposed,प्रस्तावित
notable ,उल्लेखनीय
proposer ,प्रस्तावक
proposition,समस्या
proposition,प्रस्ताव
proposition ,सुझाव
proprietary ,मालिकाना
proprietorial ,मालिकाना
proprietor,मालिक
propriety,शिष्टाचार
propriety ,मर्यादाअ
propriety ,औचित्यअ
propulsion,प्रणोदन
propulsive ,नोदक
propulsive ,नोदी
propulsive ,प्रेरक
prop up,उठना
prop ,टिकाना
pro rata,यथानुपात
pro rata,यथानुपाती
prosaic ,अकल्पनाशील
prosaic ,नीरस
prose,गद्धअ
prosecution,अभियोग
prosecution,अभियोजन
prosody ,छंद
prosody ,छंद-शास्त्र
prospect,दृश्य
prospect,आशा
prospect,संभावना
prospective ,प्रत्याशित
prospector ,पूर्वेक्षक
prospect,पूर्वानुमान
prospects ,संभावना
prospectus ,विवरण-पत्रिका
prosperity,समृद्धि
prosperous,सम्पन्न
prostitute ,वेश्या
prostitution ,वेश्यावृत्ति
prostrate ,साष्टांग
prostrate ,स्तब्ध
prostration ,कमजोरी
prosy ,नीरस
protagonist ,नायक
protect,बचाना
protection,घूस
protection,बचाव
protection ,तत्त्वावधान
protection,सुरक्षा
protectionism ,संरक्षणवाद
protectionist ,संरक्षणवादी
protection ,सुरक्षा
protective,रक्षात्मक
protective,रक्षा
protectiveness ,सुरक्षात्मकता
protector,संरक्षक
protect ,बचाना
protein,प्रोटिन
Protestant Reformation ,धर्मसुधार-काल
protestant,प्रोटेस्टैंट
protestation ,प्रकथन
protestation ,प्रतिज्ञापन
protester ,प्रदर्शनकारी
protester ,विरोधकर्ता
protest,प्रतिवाद
protest,विरोध
protocol ,प्रोटोकॉल
protocol ,नयाचार
proton,प्रोटॉन
protoplasm,जीवद्रव्य
prototype ,प्रतिमान
protracted ,लंबा
protractor,चांदा
protrusion ,उभार
protuberance ,उभार
proud ,घमण्डी
proud,विशाल
proud,गौरवान्वित
proud,गर्वी
proud,मान
proud,स्वाभिमानी
proud,अहंकारी
provable ,प्रमाण्य
provable ,सिद्ध्य
proved ,प्रमाणित
proved ,सिद्ध
prove,परखना
prove,फूलना
proven ,प्रमाणित
proven ,सिद्ध
provenance ,उद्गम
prove,जाँचना
proverbial ,लोकोक्तीय
proverbial ,प्रसिद्ध
provide against,बचाना
provide, करना
provide,देना
provide,जुटाना
providence ,परमात्मा
providence ,विधाता
Providence ,प्रोविडेन्स
provident ,दूरदर्शी
provident ,मितव्ययी
providential ,दैवकृत
Provident Society,मित्र-संघ
provide,कहना
province,प्रदेश
province ,अधिकार-क्षेत्र
province,प्रान्त
province,कार्यक्षेत्र
provincial ,गँवार
provincial ,प्रांतीय
provincialism ,संकीर्णता
provincialism ,प्रांतीयता
provincialism ,प्रादेशिकता
provincialism ,देहातीपन
provisional ,अस्थायी
provision,व्यवस्था
provision,प्रबंध-व्यवस्था
provision,प्रबन्ध-व्यवस्था
provision,विधान
provision,प्रकल्पन्
provision,शर्त
provision,प्रतिबंध
provision,प्रावधान
provision,प्रबन्ध
provision,नियम
provision ,प्रबन्ध
provision ,व्यवस्था
provisions,शर्त
proviso ,शर्त
proviso ,प्रतिबंध
provocation ,कारण
provocation ,छेड़खानी
provocative ,उत्तेजक
provoke,चिढना
provoke,छेड़ना
provost,अध्यक्ष
prowess ,कौशल
prow ,गलही
proximate ,निकटवर्ती
proximate ,अनुमानित
proximate ,आसन्न
proximity ,निकटता
proximity ,सामीप्य
proxy ,प्रतिनिधित्व
proxy ,मुख्तारी
proxy ,प्रतिनिधि
proxy ,मुख्तार
prudence ,समझदारी
prudence ,सावधानी
prudent,वुद्धीमान
prudent,दूरदर्शी
prudery ,कपटलज्जा
prudery ,कपटलज्जाशीलता
prudish ,अतिनैष्ठिक
prudish ,कपटलज्जालु
prudishness ,कपटलज्जाशीलता
prune ,छँटाईअना
prune ,छाँटना
pruning,छँटाई
pruning ,छँटाई
psalmist ,भजन-गायक
psalm ,भजन
psalter,भजनसंहिता
pseud ,मिथ्या
pseud ,पाखंडपूर्ण
pseud ,पाखंडी
pseudo ,झूठ्
pseudo ,कूट-
pseudonym ,छद्मनाम
pseudonymous ,छद्मनामी
PS ,पुनश्च
psyche,चित्त
psyche,मन
psyche,आत्मा
Psyche,साइकी
psychiartry,मनोचिकित्सा
psychiatric ,मनश्चिकित्सीय
psychiatrist ,मनश्चिकित्सक
psychiatry ,मनश्चिकित्सा
psychiatry ,मनोरोग-विज्ञान
psychic ,मानसिक
psychic ,अतिभौतिक
psychic ,अतींद्रिय
psychical ,मानसिक
psychical ,अतिभौतिक
psychical ,अतींद्रिय
psycho ,पागल
psychoanalysis,मनोविश्लेषण
psychoanalyst,मनोविश्लेषक
psychoanalytic ,मनोवैश्लेषिक
psychoanalytical ,मनोवैश्लेषिक
psychological,मनोवैज्ञानिक
psychologist ,मनोवैज्ञानिक
psychology,मनोवृति
psychology,मनोविज्ञान
psycho ,मनोरोगी
psychopathic ,मनोरोग-ग्रस्त
psychopath ,मनोरोगी
psychopathologic ,मनोरोग-ग्रस्त
psychopathological ,मनोरोग-ग्रस्त
psychopathology ,मनोविकृति-विज्ञान
psychosis ,मनोविकृति
psychosis ,मनोविक्षिप्ति
psychosis ,पागलपन
psychosomatic ,मनःकायिक
psychosomatic ,मनोदैहिक
psychotherapeutics ,मनश्चिकित्सा-विज्ञान
psychotherapist ,मनोरोग-चिकित्सक
therapist ,चिकित्सक
psychotic ,मनोविक्षिप्त
psychotic ,मनोविक्षिप्ति-संबंधी
psychotic ,मनोरोगी
psychotic person ,मनोरोगी
Pt.,बंदरगाह
Pt,बंदरगाह
PT,अंशकालिक
Pt ,पाइंट
Pt ,पॉइंट
Pt. ,भाग
Pt ,भाग
puberty ,वयःसंधि
puberulent ,रोमिल
pubescence ,वयःसंधि
pubescent ,रोमिल
pubescent ,तरुण
pubic ,जघन-
pub,शराबखाना
public ,सार्वजनिक
public,सार्वजनिक
public,आम
public,सरकारी
public,सर्वप्रचलित
public,राजकीय
publication,प्रकाशन
publication,प्रकाशनअ
public house,शराबखाना
public,लोग
public,जन
public,जनता
public,प्रजा
publicist,प्रचारक
publicity,विज्ञापन
publicity,प्रचार
publicity,प्रख्याति
public ,जनता
public nuisance,लोककंटक
public relations,जन-सम्पर्क
public speaker ,वक्ता
public spirit,लोकहित-भाव
publisher,प्रकाशक
publishing house ,प्रकाशक
publishing ,प्रकाशन
pucka ,असली
pucka ,पुख्ता
pucker ,शिकन
pucker ,सिकोड़ना
puckish,नटखट
pudding,पुडिंग
puddle ,डबरा
puddle ,कीचड़
pudgy ,थुलथुल
pud,पुडिंगअ
pud,मिष्टान्न
puerile ,बचकाना
puff and blow,डराना-धमकाना
puff and pant,हाँफना
puffed ,बेदम
puffed out ,बेदम
puff,उड़ाना
puff,हांफना
puff,सांस
puff,कश
puffiness ,सूजन
puff ,रजाई
puff ,दुलाई
puff out,फुलाना
puff up,हाँफना
puff up,फुलना
pugnacious ,झगड़ालू
pugnaciousness ,झगड़ालूपन
pugnacity ,झगड़ालूपन
pugnacity ,कलहप्रियता
puke,उल्टी
pukka ,असली
pukka ,पुख्ता
pull,खींचना
pull,लेना
pull,खेना
pull,पीना
pull,खीँचना
pull at,कींच्ना
pull away,चलना
pull back,मुकरना
pulley-block ,चरखी
pulley-block ,घिरनी
pulley ,चरखी
pulley ,घिरनी
pull,झटकारना
pull,रोकना
pull,ठहराना
pull,खिचाव
pull,आकर्षण
pull,आकर्षन
pull,खीचातानी
pull,बल
pull,ठोकर
pull,कश
pull-in,ढाबा
pull in,कमाना
Pullman ,पुलमैन
pull,ऐँठना
pull,फाड़ना
pull, करना
pull,नोचना
pull,निकालना
pull on,कींचना
pull out,निकलना
pull-out,वापसी
pullover ,पुलोवर
pull-up,पुल-अप
pull up,रूकना
pull up,रोकना
pull ,खींचना
pulmonary ,फुफ्फुसी
pulmonary ,फुफ्फुसीय
pulmonic ,फुफ्फुसी
pulmonic ,फुफ्फुसीय
pulp ,सस्ता
pulpit ,पादरी-वर्ग
pulpit ,प्रवचन-मंच
pulpit ,मंच
pulp ,दन्तमज्जा
pulp ,लुगदी
pulp ,भुर्ता
pulp ,गूदा
pulp ,लेई
pulpy ,ढीला
pulpy ,नरम
pulsar ,पल्सर
pulse ,दलहन
pulse ,पल्स
pulse ,नाड़ी-स्पंद
pulverise ,पीसना
pulverize ,पीसना
puma ,तेंदुआ
pumice ,झामक
pumice ,झाँवाँ
pumice stone ,झामक
pumice stone ,झाँवाँ
pump,उलीचना
pump,उठाना
pump,पम्प
pump,दौकनी
pump in,लगाना
pump into,लगाना
pump ,पम्प
pump out,छोड़ना
pump-room ,पंप-कक्ष
punchball,पंचबॉल
puncher ,चरवाहा
puncher ,मुक्केबाज
punch,उत्तेजना
punch,घूँसा
punch,दबाना
punch in,डालना
punch into,डालना
punch,पंच
punch,मुक्का
punch-up,मार-पीट
punch ,दालना
punchy ,प्रभावशाली
punctilious ,अत्यौपचारिक
punctiliously ,विस्तारपूर्वक
punctiliousness ,सतर्कता
punctuation mark,विराम-चिन्ह
puncture ,पंचर
puncture ,छेद
pundit ,पण्डित
pungency,तीखापन
pungency ,तीखापन
pungent ,तीखा
pungent ,तीक्ष्ण
pungently ,तिक्ततापूर्वक
punishable ,दंडनीय
punishing ,दुष्कर
punishment,दण्ड
punishment,ताड़ना
punishment,शासन
punishment ,सज़ा
punishment,सजा
punishment,निग्रह
punishment ,दंड
punishment ,सजा
punitive ,दुर्देय
punitive ,दण्डात्मक
punitory ,दण्डात्मक
punk,पंक
punning ,श्लेष
pun ,श्लेष
punster ,श्लेषवादी
punter ,ग्राहक
punter ,खरीददार
punt,पंट
puny ,अदना
puny ,कमजोर
pupa,प्यूपा
pup ,पिल्ला
pup ,बच्चा
pupil,कनीनिका
pupil,छात्र
pupil,किशोर
pupil ,विद्यार्थी
puppet ,गुड़िया
puppet ,कठपुतली
puppet ,पुतली
puppy,पिल्ला
puppy love,किशोर-प्रेम
purchase,खरीद
purchase,ख़रीदना
purchase,खरीदना
purchase,पकड़
purchase price,क्रय-मूल्य
purchaser ,ख़रीदार
purchasing ,क्रय
purchasing power,क्रय-शक्ति
purchasing power,क्रय-मूल्य
purdah ,पर्दा-प्रथा
purdah ,पर्दा
pure ,विशुद्ध
pure,विशुद्ध
pure,अमिश्रित
pure,निर्मल
pure,असली
pure,साफ
pure,खालिस
pure,निश्कलँक
pure,सती
pure,ब्रह्मचारी
pure,अविकृत
purely,केवल
pureness ,शुद्धता
purgation ,परिष्करण
purgation ,शुद्धीकरण
purgative ,रेचक
purgative ,विरेचक
purgatory ,यातना
purge ,परिष्करण
purge ,शुद्धीकरण
purging ,परिष्करण
purging ,शुद्धीकरण
purification ,शुद्धीकरण
purification ,स्वच्छीकरण
purism ,शुद्धतावाद
purism ,शुद्धिवाद
purist ,शुद्धतावादी
purist ,शुद्धिवादी
puritan ,अतिनैतिकतावादी
puritanic ,अतिनैतिकतावादी
puritanical ,अतिनैष्ठिक
puritanical ,अतिनैतिकतावादी
puritan,प्यूरिटन
puritanism,प्यूरिटनवाद
puritanism ,अतिनैतिकतावाद
purity ,शुद्धता
purity ,पवित्रता
purl ,उल्टा
purl ,कलकलाना
purple ,बैंजनी
purple,बैंजनी
purple,सुंदर
purple,प्रतापी
purple,पर्पल
purplish ,बैंगनी-सा
purplish ,बैंजनी-सा
purported ,तथाकथित
purport ,अभिप्राय
purport ,अर्थ
purposeful ,उद्देश्यपूर्ण
purpose,उद्देश्य
purpose,प्रयोजन
purpose,सँकल्प
purpose,इरादा
purposeless ,उद्देश्यहीन
purposeless ,अर्थहीन
purpose ,उद्देश्य
purposive ,सोद्देश्य
purr,घुरघुराना
purr ,घुरघुराहट
purse ,जेब
purse ,बटुआ
purse ,पर्स
purser ,पोतनीस
purser ,पर्सर
purse-strings,ख़र्च
purse ,सिकोड़ना
pursuit,पीछा
pursuit,धंधा
pursuit,तलाश
pursuit ,शौक
purulence ,पीप
purulent ,पीपदार
push,ठेलना
push along,छोड़ना
push-bike,साइकिल
push-button,दाब-बटन
deedbox ,तिजोरी
pushchair ,बच्चा-गाड़ी
pushed ,व्यस्त
pushed ,परेशान
pushed ,अभाव
pusher ,बच्चा-गाड़ी
pushful ,आक्रामक
push,उकसाना
push,दबाव
push,धक्का
pushing ,आक्रामक
push,बढाना
push,चलाना
push,धकेलना
push off,चलाना
pushover,भोला
push-up,पुश-उप
push up,बढा
pusillanimity ,कायरता
pusillanimous ,डरपोक
pusillanimously ,कातरतापूर्वक
pusillanimousness ,कायरता
pus ,पीप
puss ,बिल्ली
pussy ,पीपदार
pussycat ,बिल्ली
pussy ,बिल्ली
put about,मुड़ना
put across,रखना
put aside,बचाना
putative ,तथाकथित
put away,पीना
put away,खाना
put away,रखना
put away,बचाना
put,डालना
put,रखना
put by,बचाना
put down,समझना
put down,मारना
put down,उतारना
put down,रखना
put down,लिखना
put down to,डालना
put,आँकना
put,लिखना
put,मारना
put,लगाना
put in,चुनना
put in,लगाना
put in,लिखना
put in motion,चलाना
put off,उतारना
put off,टालना
put off,बुझाना
put on,लगाना
put on,बढ़ना
put on,बढाना
put on,बढना
put on,जलाना
put on,चलाना
put on,दिखाना
put on,चालूअना
put on,पहनना
put out,टूटना
put out,बुझाना
put out,निकलना
put out,रखना
put out,लेना
put out,परेशान
put over on,मनाना
putrefaction ,सड़न
putrefaction ,सड़ाव
putrefy ,सड़ना
putrescence ,सड़न
putrescent ,सड़ा
putrid ,बदबूदार
putridness ,सड़न
put <somebody's> nose out of joint,चिढाना
putter,पटर
putter ,पटपटाना
putting-green,पुटिंग-ग्रीन
putting iron,पटर
putting ,मारना
putt ,मारना
put together,जोड्ॅअना
put together,जोड़ना
put together,बनाना
put to,पूछना
put to,डालना
putty ,पोटीन
put up,लगाना
put up,देना
put up,बढाना
put up,प्रस्तुतएना
put up,उठाना
put-up job,पूर्वायोजित
put-upon,स्वार्थी
put up to,भड़काना
put up with,बरदास्तअना
puzzle,पहेली
puzzle,उलझनी
puzzling ,पेचीदा
pygmy,पिग्मी
pygmy,बौना
pygmy ,बौना
pylorus ,जठर-निर्गम
pyramid ,पिरामिड
pyramid,सूचीस्तंभ
pyramid,पिरामिडअ
pyre ,चिता
Pythia ,पाइथिया
Pythoness ,पाइथनेस
python ,अजगर
Python,पाइथन
q,क्यू
qt,क्वार्ट
quackery ,नीम-हकीमी
quack,मिथ्याचिकित्सक
quack ,नीम-हकीम
quad,क्वॉड
quad ,चौक
quadrangle,प्रांगण
quadrangle ,चौक
quadrant ,क्वॉड्रैंट
quadrant,वृत्तपाद
quadraphonic ,क्वॉड्रोफ़ोनिक
quadrasonic ,क्वॉड्रसोनिक
quadrilateral ,चतुर्भुज
quadrilateral,चतुर्भुज
quadriphonic ,क्वॉड्रिफ़ोनिक
quadrisonic ,क्वॉड्रिसोनिक
quadrophonic ,क्वॉड्रोफ़ोनिक
quadruple ,चौगुना
quadruple ,चौहरा
quadruple,चौगुना
quadruplet ,क्वॉड्रुप्लेट
quadruplex ,चौहरा
quadruplicate ,चौहरा
quaff ,गटकना
quag,दलदल
quagmire,दलदल
quagmire ,दलदल
quag ,दलदल
quail,बटेर
quaint,विचिट्र
quaint,अनूठा
quaintness ,निरालापन
quaintness ,अनोखापन
quake,भूकम्प
quake,कांपना
quake,हिलना
Quaker ,क्वेकर
qualification,योग्यता
qualification,अर्हता
qualification,प्रतिबन्ध
qualified,सीमित
qualify,सुधारना
qualitative ,गुणात्मक
qualitative,गुणवाचक
quality,प्रकार
quality,गुणवत्ता
quality,माहौल
quality,गुण
quality,कोटि
quality,उत्कृष्टता
quality,किस्म
quality,स्वभाव
quality,स्वरूप
qualm ,आशंका
qualm ,मतली
qualm ,मिचली
quandary ,दुविधा
quandary ,असमंजस
quantification ,प्रमात्रीकरण
quantitative,परिमाणात्मक
quantity,इयत्ता
quantity,संख्या
quantity ,अधिकता
quantity ,मात्रा
quantum,प्रमात्रा
quantum,क्वांटम
quarantine ,संगरोधन
quarantine ,संगरोध
quark,क्वार्क
quarrel,शिकायत
quarrel ,झगड़ा
quarrelsome ,झगड़ालू
quarrelsome ,कलहप्रिय
quarrelsomeness ,झगड़ालूपन
quarrelsomeness ,कलहप्रियता
quarry ,खदान
quarry ,शिकार
quarter,निवास
quarter,आवास
quarter,मुहल्ला
quarter,प्राणदान
quarter,अभयदान
quarter,प्रदेश
quarter,तरफ
quarter,दिशा
quarter,तिमाही
quarter,त्रिमास
quarter,पड़ाव
quarter,चतुर्थाँश
quarter,पाव
quarterly ,तिमाही
quarterly ,त्रैमासिक
quartet ,चतुष्क
quartette ,चतुष्क
quarto ,चौपेजी
quartz glass ,बिल्लौर
quartz glass ,स्फटिक
quartz ,बिल्लौर
quasar,क्वेज़ार
queasiness ,मतली
queasiness ,मिचली
queasy ,बेचैन
queasy ,वमनकारी
queen bee,महारानी
queen consort,पटरानी
queen,बेगम
queen,वजीर
queen,रानी
queen,महारानी
queen,सर्वोत्तम
queen,राजमाता
queen,राजपत्नी
queen mother,राजमाता
queen ,रानी
queer ,अजीब
queer,समलैंगिक
queer,बीमार
queerness ,विचित्रता
quell ,शांत
quell ,दबाना
querier ,प्रश्नकर्ता
querulous ,शिकायती
querulousness ,चिड़चिड़ापन
query ,प्रश्न
query ,पूछना
quest,रोना
questionable ,संदिग्ध
questionable ,संदेहास्पद
question,सवाल
question,प्रश्न
questioner ,प्रश्नकर्ता
question,पूछना
question,शंका
question,मामला
question,विशय
questioning ,प्रश्नात्मक
questioning ,पूछ-ताछ
question mark,सन्देह
question-master,प्रश्नकर्ता
questionnaire ,प्रश्नावली
question ,प्रश्न
question time,प्रश्नावधि
quest ,खोज
quest ,तलाश
queue,कतार
queue ,पंक्ति
queue ,चोटी
queue,क्यू
quibble ,कमी
Quiche,कीश
quiche ,कीश
quick ,शीघ्र
quick,तेज़
quick,ज्ल्दी
quick,फुर्तीला
quick,चौकन्ना
quick,तुनुकमिजाज
quick,तत्काल
quick,बुद्धिमान
quick,चालाक
quick-fire,तेज़
quick,तीक्ष्ण
quick,शीघ्र
quickly ,तुरंत
quickness,कुशाग्रता
quickness ,तत्परता
quick on the uptake,बुद्धिमान
quicksand,बालु-पंक
quicksilver,पारा
quickstep,द्रुतनृत्य
quick-tempered,चिड़चिड़ा
quick-witted,चतुर
quiddity ,कमी
quid ,पाउंड
quid pro quo,प्रतिदान
quiescence ,निष्क्रियता
quiescency ,निष्क्रियता
quiescent ,नष्क्रिय
quiescent,सुप्त
quiet ,सादा
quiet ,शान्त
quiet,शान्त
quiet,निस्तब्ध
quiet,चुपचाप
quiet,गम्भीर
quiet,निश्चल
quiet,मन्द
quiet,शान्ति
quiet,मृदु
quietism ,निवृत्तिमार्ग
quietism ,निवृत्तिवाद
quietist ,निवृत्तिमार्गी
quietist ,निवृत्तिवादी
quietly ,शांतिपूर्वक
quietly ,धीरे
quietness ,सन्नाटा
quietness ,नीरवता
quietness ,शांति
quiet ,शान्ति
quietude ,शांति
quiety,शान्तिपूर्वक
quiety,चुपचाप
quiffy ,ज़ुल्फ़दार
quill feather ,पंख
quill ,पंख
quill ,काँटा
quill ,पिच्छाक्ष
quilt,गद्दाआ
quilt ,रजाई
quilt ,दुलाई
quince,वीही
quince,क्विंस
quincentenary ,पंचशतीय
quincentennial ,पंचशतीय
quinine ,कुनैन
quintessence,आकाश
quintessence ,सारतत्त्व
quintessential ,सर्वोत्कृष्ट
quintet ,पंचक
quintette ,पंचक
quirkiness ,विचित्रता
quirk ,विचित्रता
quirk ,मोड़ना
quirky ,विचित्र
quisling ,देशद्रोही
quite a few,बहुत
quite a,बढिया
quite,अत्यन्त
quite,पूर्णतया
quite some,बढिया
quite something,आश्चर्यजनक
quits ,बराबर
quitter ,कायर
quiver,तरकश
quiver,झपक
quiver,झुरझुरी
quixotic ,अव्यावहारिक
quiz-master,प्रश्नकर्ता
quiz ,प्रश्नोत्तरी
quizzical,प्रश्नात्मक
quorum ,गणपूर्ति
quorum ,कोरम
quotable ,उद्धरणीय
quota,हिस्सा
quota,कोटा
quota ,कोटा
quota,नियतांश
quotation,निर्ख
quotation,उद्धरण
quotation,अवतरण
quote....unquote,तथाकथित
quotient ,अनुपात
quotient,भागफल
Quran,कुरान
rabbet ,खाँचा
rabbi,रब्बी
rabbi ,रब्बी
rabbit,रैबिट
rabbit,खरगोश
rabbit ,खरगोश
rabbit on,बकना
rabbit warren,भुलभूलैया
rabble ,भीड़
rabid ,जलांतकग्रस्त
rabid ,प्रचण्ड
rabid ,कट्टर
rabies ,जलांतक
raccoon ,रकून
race,भागना
racegoer,घुड़दौड़बाज
race,जाति
race,दौड़
race,स्वाद
race,रेस
race ,दौड़
racer,धावक
racer,दौड़ाक
racer,रेसर
racial ,जातिगत
racial ,जातीय
racialism ,जातिवाद
racialism ,जातीयता
racialism ,जातिभेद
racialist ,जातिवादी
racism ,जातिवाद
racism ,जातीयता
racist ,जातिवादी
racketeering ,ठगी
racketeering ,धोखाधड़ी
racketeer ,ठग
racket ,हल्ला
rackets ,रैकेट्स
rack,रैक
rack,शिकंजा
rack,झकझोरना
racoon ,रकून
racquet ,रैकेट
racquets ,रैकेट्स
racy ,जीवंत
racy ,कामोत्तेजक
radar ,रेडार
radial ,अरीय
radial,त्रिज्यीय
radial ,रेडियल
radiant ,प्रफुल्ल
radiant ,विकिरित
radiant ,दीप्तिमान
radiate,बिखेरना
radiate,फूटना
radiate,निकलना
radiate ,चमकना
radiate ,निकलना
radiation ,विकिरण
radiator,रेडियेटर
radiator,विकिरक
radical ,आधारभूत
radical,अतिवादी
radical,मौलिक
radical,उग्रवादी
radical,विलक्षण
radically ,मूलतः
radioactive ,रेडियोधर्मी
radioactive ,विघटनाभिक
radioactivity ,रेडियोधर्मिता
radioactivity ,विघटनाभिकता
radio,भेजना
radio,आकाशवानी
radio,ट्राँसमीटर
radio,बेतार
radio-controlled,रेडियो-नियन्ट्रित
radiodetermination ,रेडियोनिर्धारणअ
radio-frequency ,रेडियो-आवृत्ति
radiographer ,रेडियोग्राफ़र
radiography ,रेडियोग्राफ़ी
radio,रेडियो
radio set,रेडियो
radiowave ,रेडियोतरंगअ
radish,मूली
radium,रेडियम
radius ,त्रिज्या
radius ,घेरा
radius,रेडियस
radon ,रेडौन
Raffia ,ताड़वृक्ष
raffia ,रैफ़िया
raffle,लॉटरी
rafter ,शहतीर
raft,ढेर
raft,बेड़ा
rage,रोष
rage,प्रकोप
ragged ,जीर्ण-शीर्णआ
ragged ,फटा-पुराना
ragged ,फटीचर
ragged ,विषम
ragged ,अपरिष्कृत
ragged ,क्लांत
raggedness ,जीर्ण-शीर्णता
rag,रैग
raging ,तेज़
raging ,प्रबल
raging ,प्रचण्ड
rag ,मज़ाक
rag ,चिथड़ा
ragtime,रैगटाइम
raid ,धावा
raid ,छापा
rail against,कोसना
railcard,रेलकार्ड
rail,छड़
rail,रेल
rail,रेलवे
railing,जंगला
rail in,घेरना
raillery,हँसी-मज़ाक
rail off,घेरना
railroad,रेलमार्ग
railway,रेलवे
railway ,रेलमार्ग
rain,बरसना
rain,उमड़ना
rain,गिरना
rain cloud ,वर्षामेघ
raincoat,रेनकोट
raincoat,इन्द्रधनुष
rain down,ढहना
rain down,बहना
raindrop,वर्षा-बिन्दु
rainfall,वर्षा
rain,बौछार
rain,वर्षा
rain,बरसात
rain,बारिश
rain ,बारिश
rain ,वर्षा
rainstorm,वर्षा-तुफान
rainy,बरसाती
raise,भड़काना
raise,बढाना
raise,मचाना
raise,उत्तेजित
raise,गढना
raise,निकालना
raise,उभाड़ना
raise,डालना
raise,उकसाना
raise,खीँचना
raise,वसूलना
raise,उठाना
raise, करना
raise,बडाना
raise,कहना
raise a hand against,धमकाना
raise,कियाना
raise <one's> hand against,धमकाना
raise to,बनाना
raise ,उठाना
raisin ,किशमिश
raison d'etre ,उद्देश्य
raked ,ढलवाँ
rake ,ऐयाश
rake ,ढलानअ
rake ,झुकावअ
rake ,पाँचा
rake-off,लाभांश
rake up,लाना
rake up,उभारना
rake ,फिराना
rake ,ढूँढ़ना
rake ,बटोरना
rakish ,बाँका
rally,वाहन-दौड़
rally,संभलना
